Produto,Categoria,PrecoCompra,PrecoVenda,QuantidadeEstoque
CABO USB IPHONE,Acessórios,14.0,20.0,50
CABO USB TIPO C,Acessórios,14.0,20.0,50
CAIXA CARREGADOR HMASTON ,Acessórios,17.5,25.0,50
ISQUEIRO ,Acessórios,2.8,4.0,50
TESOURA STYLOS ,Acessórios,5.0,13.0,50
CAIPI ICE 770ML,Caipirinhas,0.01,35.0,50
CAIPIRINHA DE LIMÃO,Caipirinhas,14.0,20.0,50
CAIPIRINHA DE MARACUJA,Caipirinhas,17.5,25.0,50
CAIPIRINHA DE MARACUJA COM PAÇOCA,Caipirinhas,18.2,26.0,50
CAIPIRINHA DE MORANGO,Caipirinhas,17.5,25.0,50
Caipi Beats,Caipirinhas,27.79,39.7,50
Caipi Beats GT,Caipirinhas,27.79,39.7,50
Caipi Corona,Caipirinhas,27.79,39.7,50
Caipi Heineken,Caipirinhas,27.79,39.7,50
Caipi Ice de Kiwi,Caipirinhas,24.99,35.7,50
Caipi Ice de Limão,Caipirinhas,24.99,35.7,50
Caipi Ice de Maracujá,Caipirinhas,24.99,35.7,50
Caipi Ice de Morango,Caipirinhas,24.99,35.7,50
Caipi Ice de Uva,Caipirinhas,24.99,35.7,50
Caipirinha 770ml de Abacaxi,Caipirinhas,17.29,24.7,50
Caipirinha 770ml de Abacaxi e limão,Caipirinhas,22.89,32.7,50
Caipirinha 770ml de GIN  + (,Caipirinhas,7.0,10.0,50
Caipirinha 770ml de JURUPINGA  + (,Caipirinhas,7.0,10.0,50
Caipirinha 770ml de Kiwi,Caipirinhas,20.79,29.7,50
Caipirinha 770ml de Kiwi e Limão,Caipirinhas,24.29,34.7,50
Caipirinha 770ml de Limão,Caipirinhas,17.29,24.7,50
Caipirinha 770ml de Manga e Maracujá,Caipirinhas,24.29,34.7,50
Caipirinha 770ml de Maracujá,Caipirinhas,17.29,24.7,50
Caipirinha 770ml de Maracujá e Limão,Caipirinhas,23.59,33.7,50
Caipirinha 770ml de Morango,Caipirinhas,17.29,24.7,50
Caipirinha 770ml de Morango e Limão,Caipirinhas,22.89,32.7,50
Caipirinha 770ml de Morango e Maracujá,Caipirinhas,23.59,33.7,50
Caipirinha 770ml de SAKÊ + (,Caipirinhas,7.0,10.0,50
Caipirinha 770ml de Uva,Caipirinhas,20.79,29.7,50
Caipirinha 770ml de Uva e limão,Caipirinhas,24.29,34.7,50
Caipirinha 770ml de WHISKY + (,Caipirinhas,7.0,10.0,50
CARVAO,Carvão / Churrasco,2.1,3.0,50
BRAHMA ZERO 350ML,Cervejas,3.49,5.5,50
BUDWEISER 269ML,Cervejas,3.5,5.0,50
BUDWEISER 330ML LONG NECK ,Cervejas,8.4,12.0,50
BUDWEISER 350ML,Cervejas,3.59,6.5,50
CARACU ,Cervejas,5.6,8.0,50
CERVEJA AMSTEL 350ML,Cervejas,3.19,6.0,50
CERVEJA EISENBAHN 350ML,Cervejas,3.69,7.0,50
CERVEJA ORIGINAL 269ML,Cervejas,2.95,5.0,50
CERVEJA PETRA 350ML,Cervejas,3.29,5.0,50
CORONA 330ML LONG NECK ,Cervejas,9.1,13.0,50
EISENBAHN IPA 350ML,Cervejas,5.75,7.7,50
EISENBAHN PALE ALE,Cervejas,5.75,6.5,50
FARDO ITAIPAVA 269ML 12UN,Cervejas,14.95,21.36,50
GALACIA 0% 330ML,Cervejas,4.59,6.0,50
HEINEKEN LONG NECK 330ML,Cervejas,5.35,12.0,50
HEINEKEN ZERO 350ML,Cervejas,5.39,7.0,50
IMPERIO 269,Cervejas,2.8,4.0,50
IMPERIO 350ML,Cervejas,2.55,3.19,50
ITAIPAVA 269ML,Cervejas,1.78,3.5,50
SKOL 269ML,Cervejas,2.75,4.5,50
SKOL 350ML,Cervejas,3.5,5.0,50
SKOL BEATS GT ,Cervejas,4.75,12.0,50
SKOL BEATS RED MIX ,Cervejas,4.75,12.0,50
SKOL BEATS SENSES ,Cervejas,5.8,12.0,50
STELLA ARTOIS 330ML LONG NECK ,Cervejas,8.4,12.0,50
COPÃO BALLANTINES,Copos / Drinks,18.9,27.0,50
COPÃO BEEFEATER,Copos / Drinks,24.5,35.0,50
COPÃO BEEFEATER PINK,Copos / Drinks,28.0,40.0,50
COPÃO BLACK LABEL,Copos / Drinks,28.0,40.0,50
COPÃO CHANCELER,Copos / Drinks,11.9,17.0,50
COPÃO DE ABSOLUT,Copos / Drinks,21.0,30.0,50
COPÃO DE ASKOV TRADICIONAL,Copos / Drinks,10.5,15.0,50
COPÃO DE CIROC,Copos / Drinks,31.5,45.0,50
COPÃO DE CIROC RED BERRY,Copos / Drinks,31.5,45.0,50
COPÃO DE INTENCION,Copos / Drinks,11.9,17.0,50
COPÃO DE JACK DANIELS,Copos / Drinks,24.5,35.0,50
COPÃO DE JACK DANIELS FIRE,Copos / Drinks,26.6,38.0,50
COPÃO DE JACK DANIELS HONEY,Copos / Drinks,26.6,38.0,50
COPÃO DE JACK DANIELS MAÇA VERDE,Copos / Drinks,26.6,38.0,50
COPÃO DE RED LABEL,Copos / Drinks,21.0,30.0,50
COPÃO DE SMIRNOFF,Copos / Drinks,14.0,20.0,50
COPÃO DE WHITE HORSE,Copos / Drinks,17.5,25.0,50
COPÃO ETERNITY,Copos / Drinks,11.9,17.0,50
COPÃO GIN ROCKS,Copos / Drinks,14.0,20.0,50
COPÃO GORDONS,Copos / Drinks,21.0,30.0,50
COPÃO PASSAPORT,Copos / Drinks,14.0,20.0,50
COPÃO TANQUERAY,Copos / Drinks,28.0,40.0,50
CANA DA ROÇA LIMÃO 500ML,Destilados / Cachaça,3.49,6.0,50
DOSE DE 51 PINGA,Destilados / Cachaça,2.8,4.0,50
DOSE DE PINGA VELHO BARREIRO,Destilados / Cachaça,2.8,4.0,50
PEDRA 90,Destilados / Cachaça,3.95,6.0,50
PITU  MEL E LIMÃO 350ML,Destilados / Cachaça,6.09,12.0,50
PITU 350ML,Destilados / Cachaça,4.05,8.0,50
PITU 473ML,Destilados / Cachaça,6.09,12.0,50
VELHO BARREIRO 910ML,Destilados / Cachaça,10.36,14.8,50
DOSE DE DREHER,Destilados / Conhaque,4.9,7.0,50
DREHER,Destilados / Conhaque,15.25,19.7,50
BEEFEATER GIN ,Destilados / Gin,47.95,68.5,50
BEEFEATER GIN PINK,Destilados / Gin,48.99,69.99,50
DOSE DE GIN BEFFETAER,Destilados / Gin,17.29,24.7,50
DOSE DE GIN GORDONS,Destilados / Gin,13.79,19.7,50
DOSE DE GIN INTENCION,Destilados / Gin,6.79,9.7,50
DOSE DE GIN ROCKS,Destilados / Gin,10.29,14.7,50
DOSE DE GIN TANQUERAY,Destilados / Gin,20.79,29.7,50
ETERNITY GIN DRY ,Destilados / Gin,14.25,30.0,50
GIN FLOWERS MORANGO 269ML,Destilados / Gin,4.49,10.0,50
GIN FLOWERS TROPICAL,Destilados / Gin,4.49,10.0,50
GIN INTENCION MELANCIA ,Destilados / Gin,12.9,30.0,50
GIN ROCKS SECO ,Destilados / Gin,15.75,22.5,50
GIN ROCKS STRAWBERRY,Destilados / Gin,15.75,22.5,50
GIN ROCKS WATERMELON ,Destilados / Gin,15.75,22.5,50
ABSOLUT CITRON ,Destilados / Vodka,42.35,60.5,50
ABSOLUT RASPBERRI,Destilados / Vodka,43.74,62.49,50
ABSOLUT VODKA ,Destilados / Vodka,45.84,65.49,50
ASKOV VODKA,Destilados / Vodka,14.0,20.0,50
ASKOV VODKA FRUTAS VERMELHAS ,Destilados / Vodka,5.25,20.0,50
ASKOV VODKA KIWI,Destilados / Vodka,5.25,20.0,50
ASKOV VODKA LIMÃO ,Destilados / Vodka,5.25,20.0,50
ASKOV VODKA MARACUJA ,Destilados / Vodka,5.25,20.0,50
BELVEDERE VODKA,Destilados / Vodka,83.93,119.9,50
CIROC FRUTAS VERMELHAS ,Destilados / Vodka,137.49,209.7,50
COROTE BLUE 500ML,Destilados / Vodka,4.45,6.0,50
COROTE MORANGO,Destilados / Vodka,4.45,6.0,50
DOSE DE VODKA ABSOLUT,Destilados / Vodka,13.79,19.7,50
DOSE DE VODKA CIROC RED BERRY,Destilados / Vodka,27.79,39.7,50
DOSE DE VODKA MASTER BLACK,Destilados / Vodka,4.9,7.0,50
DOSE DE VODKA SMIRNOFF,Destilados / Vodka,6.79,9.7,50
DOSE DE VODKA SMIRNOFF MELANCIA,Destilados / Vodka,12.53,17.9,50
SMIRNOFF VODKA ,Destilados / Vodka,0.01,49.7,50
BALLANTINES 1L,Destilados / Whisky,61.89,105.7,50
BLACK LABEL ,Destilados / Whisky,101.14,144.49,50
BUCHANANS ,Destilados / Whisky,142.49,247.9,50
CHIVAS REGAL ,Destilados / Whisky,97.49,170.0,50
DOSE DE PASSPORT MEL,Destilados / Whisky,10.29,14.7,50
DOSE DE PASSPORTE MAÇÃ VERDE,Destilados / Whisky,10.29,14.7,50
DOSE DE WHISKY PASSPORT,Destilados / Whisky,10.29,14.7,50
DOSE DE WHISKY RED LABEL,Destilados / Whisky,13.79,19.7,50
DOSE DE WHISKY WHITE HORSE,Destilados / Whisky,12.39,17.7,50
DOSE JACK DANIELS MAÇA VERDE,Destilados / Whisky,20.79,29.7,50
DOSE JACK DANILELS FIRE,Destilados / Whisky,20.79,29.7,50
DOSE JACK DANILELS MEL,Destilados / Whisky,20.79,29.7,50
DOSE JACK DANILELS TRADICIONAL,Destilados / Whisky,20.79,29.7,50
Dose Jack Daniel’s Maça Verde,Destilados / Whisky,2079.0,2970.0,50
Dose Jack Danilel’s Fire,Destilados / Whisky,2079.0,2970.0,50
Dose Jack Danilel’s Mel,Destilados / Whisky,2079.0,2970.0,50
Dose Jack Danilel’s Tradicional,Destilados / Whisky,2079.0,2970.0,50
JACK DANIELS 1L,Destilados / Whisky,90.93,129.9,50
JACK DANIELS FIRE CANELA ,Destilados / Whisky,107.99,169.7,50
JACK DANIELS HONEY,Destilados / Whisky,99.9,189.9,50
JACK DANIELS MAÇA,Destilados / Whisky,117.9,199.7,50
RED LABEL 1L,Destilados / Whisky,82.99,169.7,50
WHITE HORSE 1L,Destilados / Whisky,63.99,119.7,50
WHITE HORSE 500ML,Destilados / Whisky,21.69,30.99,50
BATOM ,Doces / Bomboniere,1.09,3.5,50
BISCOITO LOOK ATREVIDOS ,Doces / Bomboniere,3.49,5.9,50
BISCOITO LOOK BRIGADEIRO,Doces / Bomboniere,3.49,5.9,50
BISCOITO LOOK COOKIES ,Doces / Bomboniere,3.49,5.9,50
BISCOITO LOOK DOCE DE LEITE ,Doces / Bomboniere,3.49,5.9,50
CHICLETE POOSH SABORES,Doces / Bomboniere,0.21,0.3,50
FREEGELS CHOC ,Doces / Bomboniere,2.1,3.0,50
HALLS EXTRA FORTE ,Doces / Bomboniere,1.04,4.0,50
HALLS MELANCIA ,Doces / Bomboniere,1.04,4.0,50
HALLS MENTA ,Doces / Bomboniere,1.04,4.0,50
HALLS MENTOL ,Doces / Bomboniere,1.04,4.0,50
HALLS MORANGO ,Doces / Bomboniere,1.04,4.0,50
OURO BRANCO ,Doces / Bomboniere,1.19,3.0,50
SONHO DE VALSA,Doces / Bomboniere,1.19,3.0,50
TRENTO SLIN CREME ,Doces / Bomboniere,1.37,3.5,50
43 BEATS ,Drinks Especiais,31.29,44.7,50
43 Beats ( Skol Beats + Licor + Limão + Gelo ),Drinks Especiais,31.29,44.7,50
43 ICE ,Drinks Especiais,31.29,44.7,50
43 Ice ( Licor + Smirnoff Ice + Limão + Gelo ),Drinks Especiais,31.29,44.7,50
43 TROPICAL ,Drinks Especiais,31.29,44.7,50
43 Tropical ( Maracujá + Licor + Limão + Gelo ),Drinks Especiais,31.29,44.7,50
DRINK DA BARBIE ,Drinks Especiais,34.79,49.7,50
DRINK DA CASA VIBE DRINKS ,Drinks Especiais,31.29,44.7,50
Drink da Barbie ( Ballena + Redbull Melancia + Gelo ),Drinks Especiais,34.79,49.7,50
Drink da Casa Vibe Drinks ( Limão + Red Bull Tropical + Licor + Gelo ),Drinks Especiais,31.29,44.7,50
MARACUJACK ,Drinks Especiais,33.39,47.7,50
Maracujack ( Jack Daniels + Maracujá + Licor  + Gelo),Drinks Especiais,33.39,47.7,50
ADCIONAIS ENERGÉTICO,Energéticos,8.4,12.0,50
ENERGETICO BALLY MAÇA VERDE  2L,Energéticos,6.49,15.0,50
ENERGETICO BALLY MELANCIA  2L,Energéticos,6.49,15.0,50
ENERGETICO BALLY MORANGO+PESSEGO 2L,Energéticos,6.49,15.0,50
ENERGETICO BALLY TROPICAL 2L,Energéticos,6.49,15.0,50
ENERGETICO VIBE 2L,Energéticos,6.45,15.0,50
GUARAVITON 500ML,Energéticos,2.55,6.0,50
MONSTER ZERO ,Energéticos,9.1,13.5,50
RED BULL AMORA 250ML,Energéticos,7.99,12.0,50
RED BULL CEREJA E FRUTAS SILVESTRES ,Energéticos,7.99,12.0,50
RED BULL MARACUJA E MELÃO 250ML,Energéticos,7.99,12.0,50
RED BULL POMELO 250ML,Energéticos,7.99,12.0,50
REDBULL MELANCIA,Energéticos,6.49,12.0,50
REDBULL PESSEGO ,Energéticos,6.49,12.0,50
REDBULL TRADICIONAL ,Energéticos,6.49,12.0,50
REDBULL TROPICAL ,Energéticos,6.49,12.0,50
TNT FOCUS ,Energéticos,5.79,10.7,50
TNT MANGO 473ML,Energéticos,5.79,10.7,50
TNT MAÇA VERDE ,Energéticos,5.79,11.0,50
TNT PINK LEMONADE ,Energéticos,5.79,11.0,50
TNT TANGERINA 473ML,Energéticos,5.79,10.7,50
Abacaxi 43 ( Licor 43 + Limão + Abacaxi + Gelo ),Gelo / Complementos,31.29,44.7,50
GELO DE COCO,Gelo / Complementos,0.99,5.0,50
GELO DE MORANGO ,Gelo / Complementos,0.99,5.0,50
GELO MARACUJA ,Gelo / Complementos,0.99,5.0,50
GELO MAÇA VERDE ,Gelo / Complementos,0.99,5.0,50
GELO MELANCIA ,Gelo / Complementos,0.99,5.0,50
Kiwijack ( Jack Daniels de Maça + Kiwi + Gelo ),Gelo / Complementos,33.39,47.7,50
Pêssego 43 ( Morango + Pêssego + Licor + Gelo ),Gelo / Complementos,31.29,44.7,50
Refresco ( Laranja + Limão + Licor + Gelo ),Gelo / Complementos,31.29,44.7,50
51 ICE AÇAI 275ML,Ice / Bebidas Prontas,5.25,12.0,50
51 ICE FRUIT MIX 275ML,Ice / Bebidas Prontas,4.25,12.0,50
51 ICE KIWI 275ML,Ice / Bebidas Prontas,5.25,12.0,50
51 ICE LIMÃO 275ML,Ice / Bebidas Prontas,4.09,12.0,50
51 ICE MARACUJA ,Ice / Bebidas Prontas,5.25,12.0,50
51 ICE MELANCIA 275ML,Ice / Bebidas Prontas,3.04,4.35,50
SMIRNOFF ICE 275ML,Ice / Bebidas Prontas,5.25,12.0,50
ABACAXI 43 ,Licores,31.29,44.7,50
DOSE DE LICOR 43 CREME BRULÉE,Licores,17.29,24.7,50
DOSE DE LICOR 43 MISTO,Licores,24.29,34.7,50
DOSE DE LICOR 43 TRADICIONAL,Licores,17.29,24.7,50
DOSE DE LICOR BALENA,Licores,17.29,24.7,50
LICOR 43,Licores,81.9,117.0,50
LICOR BALLENA,Licores,102.49,169.7,50
LICOR GOLF ,Licores,15.33,21.9,50
LICOR STOCK ANISETTE ,Licores,34.9,59.7,50
LICOR STOCK CARACAU BLUE ,Licores,34.9,59.7,50
LICOR STOCK CARACAU TRIP,Licores,34.9,59.7,50
LICOR STOCK CASSIS,Licores,34.9,59.7,50
LICOR STOCK GOLD MARULA ,Licores,47.99,59.7,50
LICOR STOCK MENTA,Licores,34.9,59.7,50
LICOR STOCK PEACH,Licores,34.9,59.7,50
PÊSSEGO 43 ,Licores,31.29,44.7,50
ADCIONAIS FRUTA,Outros,3.5,5.0,50
ALUMINIO,Outros,1.05,1.5,50
BALI HAI FRUTAS VERMELHAS ,Outros,5.0,7.0,50
BATIDA 770ML,Outros,0.01,25.0,50
BATIDA BAIANINHA MARACUJA ,Outros,9.03,12.9,50
BATIDA KIDS 770ML,Outros,0.01,20.0,50
CABO TURBO USB ,Outros,14.0,20.0,50
CHANCELER,Outros,11.75,30.0,50
DOSE DE CANELINHA,Outros,3.5,5.0,50
DOSE DE SENSAÇÃO,Outros,24.29,34.7,50
DUNHILL ,Outros,14.0,20.0,50
FOLHAS DE ALUMINIO ,Outros,1.05,1.5,50
KIWIJACK ,Outros,33.39,47.7,50
MEL DO AMOR,Outros,14.0,20.0,50
MEL ITAJAI,Outros,7.83,11.19,50
MELZINHO DO AMOR 15G,Outros,14.0,20.0,50
TRENTRO SLIN CARAMELO ,Outros,1.37,3.5,50
ZGY FRESH LEMON ,Outros,10.5,15.0,50
ZGY FRUTII 50G,Outros,10.5,15.0,50
AGUA TONICA ,Refrigerantes,2.62,5.0,50
COCA COLA  600ML,Refrigerantes,4.49,9.0,50
COCA COLA 200ML,Refrigerantes,1.75,3.5,50
COCA COLA 2L,Refrigerantes,8.65,14.0,50
COCA COLA 350ML,Refrigerantes,2.79,6.0,50
COCA COLA ZERO 2L,Refrigerantes,8.75,14.9,50
COCA COLA ZERO 350ML,Refrigerantes,2.79,6.0,50
COCA COLA ZERO AÇUCAR 600ML,Refrigerantes,4.49,9.0,50
DOLLY 2L,Refrigerantes,4.59,8.0,50
DOSE DE LICOR 43 CHOCOLATE,Refrigerantes,20.09,28.7,50
FANTA LARANJA 200ML,Refrigerantes,1.95,3.5,50
FANTA LARANJA 2L,Refrigerantes,6.95,12.0,50
FANTA LARANJA 350ML,Refrigerantes,3.5,5.0,50
FANTA UVA 2L,Refrigerantes,6.95,12.0,50
GUARANA ANTARTICA 600ML,Refrigerantes,4.55,7.7,50
GUARANA ARTARTICA 2L,Refrigerantes,7.05,12.0,50
H2O 500ML LIMAO ,Refrigerantes,3.99,7.0,50
H2O LIMONETO ,Refrigerantes,3.99,7.0,50
LICOR BALLENA CHOCOLATE ,Refrigerantes,71.74,102.49,50
SODA 350ML,Refrigerantes,2.42,6.0,50
SPRITE PET 200ML,Refrigerantes,1.95,3.5,50
TRENTO SLIN CHOCOLATE ,Refrigerantes,1.37,3.5,50
AZEDINHO MORANGO ,Salgadinhos / Snacks,2.1,3.0,50
BATIDA BAIANINHA AMENDOIM ,Salgadinhos / Snacks,9.03,12.9,50
FOFURA CHURRASCO ,Salgadinhos / Snacks,1.5,5.0,50
TORCIDA BACON ,Salgadinhos / Snacks,1.49,5.0,50
TORCIDA CEBOLA ,Salgadinhos / Snacks,1.49,5.0,50
TORCIDA CHURRASCO ,Salgadinhos / Snacks,1.49,5.0,50
TORCIDA PIMENTA MEXICANA ,Salgadinhos / Snacks,1.49,5.0,50
DEL VALLE GOIABA ,Sucos / Refrescos,3.49,6.0,50
DEL VALLE PESSEGO 290ML,Sucos / Refrescos,3.49,6.0,50
DEL VALLE UVA 290ML,Sucos / Refrescos,3.49,6.0,50
MAGUARY ABACAXI 1L,Sucos / Refrescos,4.79,10.0,50
MAGUARY ACEROLA 1L,Sucos / Refrescos,4.79,10.0,50
MAGUARY CAJU 1L,Sucos / Refrescos,4.79,10.0,50
MAGUARY GOIABA 1L,Sucos / Refrescos,4.79,10.0,50
MAGUARY LARANJA 1L,Sucos / Refrescos,4.79,10.0,50
MAGUARY MORANGO 1L,Sucos / Refrescos,4.79,10.0,50
MAGUARY UVA 1L,Sucos / Refrescos,4.79,10.0,50
REFRESCO,Sucos / Refrescos,31.29,44.7,50
TANG TANGERINA,Sucos / Refrescos,0.7,1.0,50
CARVAO ZOMO COCO,Tabacaria,2.1,3.0,50
CHESTERFIELD REMIX FRESH,Tabacaria,8.4,12.0,50
CIGARRO DE,Tabacaria,0.7,1.0,50
"CIGARRO SOLTO DE R$ 1,00",Tabacaria,0.7,1.0,50
"CIGARRO SOLTO DE R$ 2,00",Tabacaria,1.5,2.0,50
DICHAVADOR,Tabacaria,2.5,7.0,50
MIRAGE KING SIZE SLIM ,Tabacaria,2.45,3.5,50
ROTHMANS  CORE BLUE ,Tabacaria,8.4,12.0,50
ROTHMANS RED,Tabacaria,8.4,12.0,50
TABACO ACREMA BLEND 20G,Tabacaria,10.5,15.0,50
ZOMO CLASSIC SLIN ,Tabacaria,3.5,5.0,50
ZOMO NATURAL PERFECT ,Tabacaria,3.5,5.0,50
ZTG FRUTAS AMARELAS ,Tabacaria,10.5,15.0,50
ZYG BANANA TROPICAL ,Tabacaria,10.5,15.0,50
ZYG FRUTAS ROXAS 50G,Tabacaria,10.5,15.0,50
CANTINHO DO VALE 2L,Vinhos,6.85,14.0,50
CANTINHO DO VALE 880ML,Vinhos,4.9,7.0,50
CATUABA SELVAGEM ,Vinhos,13.9,24.7,50
CATUABA SELVAGEM AÇAI ,Vinhos,13.9,24.7,50
COQUETEL ROCHA CANELA ,Vinhos,11.9,20.0,50
VINHO DOM NOGUEIRA ,Vinhos,9.29,19.7,50
VINHO PERGOLA 1L,Vinhos,28.5,31.7,50
VINHO SANGUE DE BOI ,Vinhos,12.29,21.7,50
AGUA BIO 510ML,Água,0.6,3.5,50
AGUA COM GAS ,Água,1.15,4.0,50
"AGUA CRISTAL 1,5ML",Água,1.27,7.5,50
AGUA DE COCO 1L,Água,6.79,12.0,50
